uf20-0108 79 1 -2 3 -4 -5 -6 -7 8 -9 10 11 12 13 14 15 -16 -17 18 -19 20 0
uf20-0854 49 1 2 -3 -4 5 6 7 8 9 10 11 12 -13 14 -15 -16 17 -18 -19 -20 0
uf20-0945 70 -1 -2 -3 -4 5 6 -7 -8 9 -10 -11 -12 13 14 -15 -16 17 -18 -19 20 0
uf20-0236 110 -1 2 3 -4 -5 6 7 8 9 -10 -11 12 13 14 -15 16 17 -18 -19 20 0
uf20-0634 66 -1 2 -3 -4 5 6 7 -8 9 10 11 12 -13 -14 -15 -16 17 18 -19 -20 0
uf20-0497 51 1 2 -3 4 -5 6 7 8 -9 -10 11 -12 13 -14 15 16 -17 -18 19 -20 0
uf20-0483 76 1 -2 -3 -4 5 -6 7 -8 -9 10 11 12 -13 -14 15 16 17 18 19 20 0
uf20-0578 103 1 2 3 4 5 6 -7 -8 9 -10 -11 12 -13 14 -15 -16 -17 -18 19 20 0
uf20-0501 60 -1 2 3 -4 -5 6 7 -8 -9 -10 -11 12 13 -14 -15 16 -17 18 -19 20 0
uf20-0152 62 1 2 -3 4 5 6 7 -8 9 -10 11 12 13 14 15 -16 17 18 -19 -20 0
uf20-052 78 -1 -2 3 4 5 6 -7 -8 -9 -10 -11 12 13 14 15 16 17 18 19 20 0
uf20-016 87 -1 -2 -3 4 -5 -6 7 8 9 10 11 -12 -13 14 15 16 -17 18 -19 -20 0
uf20-045 61 1 -2 3 4 -5 6 7 8 -9 10 11 -12 -13 -14 15 16 -17 18 19 -20 0
uf20-0612 81 -1 2 3 -4 -5 -6 7 8 9 10 -11 12 -13 14 -15 -16 17 -18 -19 20 0
uf20-0357 100 -1 -2 3 -4 5 6 -7 -8 -9 10 11 12 13 -14 -15 -16 17 18 19 20 0
uf20-0373 55 1 2 3 4 -5 -6 7 8 9 10 -11 12 -13 -14 -15 -16 -17 -18 -19 -20 0
uf20-0371 97 1 2 3 -4 5 6 7 -8 9 10 -11 12 -13 14 15 16 -17 -18 19 -20 0
uf20-0188 63 -1 -2 3 4 5 6 -7 -8 9 -10 -11 -12 -13 14 15 -16 17 -18 19 -20 0
uf20-0222 83 1 -2 -3 4 -5 6 7 -8 9 -10 11 12 13 14 15 16 -17 -18 -19 20 0
uf20-0543 93 1 2 3 -4 5 6 -7 8 -9 -10 11 12 -13 14 15 16 17 -18 -19 -20 0
uf20-0476 85 -1 2 3 4 5 6 -7 8 -9 -10 11 12 -13 14 -15 16 17 18 19 20 0
uf20-019 83 -1 2 3 4 5 -6 7 -8 -9 10 11 12 13 14 -15 -16 -17 -18 19 -20 0
uf20-0292 53 -1 -2 -3 -4 5 6 7 -8 9 -10 11 12 13 14 15 16 -17 -18 -19 20 0
uf20-0262 74 1 2 -3 -4 -5 -6 -7 8 9 10 -11 12 13 14 -15 -16 17 18 19 20 0
uf20-0693 82 -1 -2 -3 -4 5 6 7 8 -9 10 11 -12 13 -14 15 -16 17 -18 19 -20 0
uf20-0286 111 1 2 3 4 5 6 7 -8 -9 -10 11 12 13 14 -15 16 -17 -18 -19 20 0
uf20-0138 85 1 2 -3 4 -5 6 7 8 9 10 11 12 13 14 15 16 -17 -18 -19 -20 0
uf20-0783 92 -1 2 3 -4 -5 -6 -7 8 9 -10 11 -12 13 -14 15 -16 17 18 19 20 0
uf20-0955 52 1 2 3 -4 -5 -6 7 -8 9 10 11 -12 13 -14 -15 16 -17 18 -19 20 0
uf20-0298 86 1 -2 -3 -4 5 6 -7 8 9 -10 11 -12 -13 -14 15 16 17 18 19 20 0
uf20-0656 74 1 2 -3 4 -5 -6 7 -8 9 -10 11 12 13 14 15 -16 -17 18 -19 20 0
uf20-0788 54 1 2 3 -4 -5 -6 -7 -8 9 10 11 -12 -13 -14 15 -16 17 -18 19 20 0
uf20-0272 57 1 -2 -3 4 -5 -6 7 -8 9 10 11 12 13 14 -15 16 17 -18 19 20 0
uf20-0926 108 -1 2 3 4 5 -6 7 -8 9 -10 -11 12 13 14 15 -16 -17 -18 19 20 0
uf20-0707 36 1 2 3 -4 -5 6 7 -8 -9 10 -11 -12 13 14 -15 -16 -17 -18 19 -20 0
uf20-0287 80 1 2 3 -4 5 -6 7 -8 -9 10 -11 12 -13 14 -15 -16 -17 -18 -19 20 0
uf20-0381 92 1 -2 3 -4 5 6 7 -8 -9 10 11 -12 13 14 -15 16 -17 18 19 20 0
